n,t
10,0.000010
20,0.000018
30,0.000029
40,0.000043
50,0.000062
60,0.000089
70,0.000112
80,0.000144
90,0.000179
100,0.000224
110,0.000269
120,0.000303
130,0.000356
140,0.000341
150,0.000396
160,0.000450
170,0.000510
180,0.000552
190,0.000616
200,0.000671
210,0.000702
220,0.000574
230,0.000556
240,0.000515
250,0.000543
260,0.000553
270,0.000579
280,0.000623
290,0.000655
300,0.000704
310,0.000754
320,0.000799
330,0.000833
340,0.000893
350,0.000940
360,0.000990
370,0.001056
380,0.001212
390,0.001283
400,0.001286
410,0.001310
420,0.001397
430,0.001462
440,0.001739
450,0.002000
460,0.002025
470,0.002081
480,0.002144
490,0.002189
500,0.002657
510,0.002226
520,0.002500
530,0.002406
540,0.002398
550,0.002494
560,0.002749
570,0.002936
580,0.002745
590,0.002845
600,0.003225
610,0.003133
620,0.003702
630,0.003215
640,0.003711
650,0.003603
660,0.003545
670,0.003918
680,0.004193
690,0.004233
700,0.004461
710,0.004498
720,0.004155
730,0.004293
740,0.004929
750,0.005116
760,0.004639
770,0.004951
780,0.004934
790,0.005015
800,0.005129
810,0.005254
820,0.006172
830,0.007162
840,0.005763
850,0.005822
860,0.005906
870,0.006044
880,0.006323
890,0.007179
900,0.006442
910,0.007490
920,0.006670
930,0.007021
940,0.007050
950,0.008194
960,0.008589
970,0.009725
980,0.008792
990,0.008503
1000,0.008529
1010,0.008396
1020,0.008330
1030,0.008476
1040,0.008585
1050,0.009229
1060,0.009163
1070,0.009207
1080,0.010050
1090,0.011546
1100,0.011864
1110,0.012241
1120,0.011520
1130,0.010570
1140,0.010812
1150,0.011138
1160,0.010933
1170,0.013208
1180,0.012874
1190,0.012837
1200,0.014398
1210,0.013141
1220,0.013929
1230,0.013533
1240,0.013802
1250,0.012934
1260,0.013255
1270,0.013669
1280,0.016132
1290,0.016726
1300,0.016369
1310,0.018678
1320,0.016305
1330,0.014850
1340,0.014941
1350,0.015449
1360,0.018130
1370,0.017660
1380,0.016395
1390,0.016719
1400,0.016173
1410,0.016350
1420,0.018499
1430,0.019729
1440,0.017572
1450,0.018347
1460,0.018036
1470,0.018558
1480,0.019340
1490,0.020628
1500,0.020069
1510,0.020279
1520,0.020133
1530,0.020416
1540,0.020168
1550,0.022166
1560,0.020980
1570,0.021349
1580,0.022682
1590,0.021700
1600,0.024116
1610,0.023047
1620,0.023542
1630,0.023124
1640,0.022072
1650,0.024963
1660,0.024982
1670,0.023129
1680,0.023293
1690,0.023813
1700,0.027742
1710,0.024505
1720,0.024119
1730,0.024598
1740,0.026170
1750,0.027796
1760,0.026416
1770,0.026673
1780,0.027161
1790,0.029835
1800,0.026145
1810,0.026879
1820,0.029300
1830,0.029365
1840,0.030841
1850,0.029197
1860,0.028557
1870,0.031318
1880,0.031511
1890,0.029598
1900,0.029245
1910,0.032421
1920,0.031668
1930,0.029988
1940,0.030428
1950,0.035628
1960,0.032122
1970,0.031629
1980,0.033154
1990,0.036374
2000,0.032311
2010,0.034363
2020,0.034248
2030,0.036886
2040,0.037162
2050,0.034328
2060,0.039029
2070,0.035449
2080,0.035246
2090,0.036871
2100,0.038148
2110,0.035915
2120,0.040907
2130,0.039490
2140,0.039010
2150,0.039648
2160,0.040048
2170,0.040563
2180,0.040447
2190,0.040640
2200,0.040410
2210,0.042520
2220,0.042554
2230,0.040479
2240,0.045525
2250,0.041241
2260,0.041640
2270,0.046866
2280,0.042248
2290,0.044739
2300,0.047682
2310,0.045680
2320,0.043248
2330,0.049427
2340,0.044223
2350,0.046002
2360,0.049165
2370,0.046814
2380,0.046881
2390,0.051603
2400,0.048369
2410,0.047667
2420,0.051467
2430,0.049239
2440,0.049582
2450,0.052266
2460,0.049225
2470,0.053454
2480,0.050998
2490,0.052221
2500,0.052381
2510,0.052257
2520,0.054541
2530,0.054227
2540,0.053604
2550,0.054938
2560,0.052103
2570,0.056655
2580,0.055126
2590,0.059495
2600,0.054362
2610,0.059424
2620,0.058265
2630,0.058123
2640,0.058407
2650,0.059771
2660,0.058793
2670,0.060891
2680,0.059799
2690,0.062055
2700,0.058149
2710,0.064034
2720,0.066890
2730,0.063165
2740,0.061712
2750,0.064770
2760,0.061518
2770,0.064428
2780,0.063276
2790,0.067883
2800,0.063879
2810,0.067955
2820,0.065452
2830,0.069877
2840,0.065834
2850,0.068600
2860,0.066909
2870,0.071181
2880,0.067271
2890,0.071965
2900,0.069194
2910,0.071711
2920,0.070472
2930,0.073986
2940,0.070122
2950,0.077312
2960,0.074115
2970,0.077304
2980,0.072006
2990,0.077825
3000,0.075706
3010,0.081590
3020,0.073911
3030,0.079584
3040,0.077088
3050,0.079418
3060,0.077890
3070,0.081043
3080,0.078697
3090,0.083302
3100,0.080244
3110,0.081994
3120,0.079509
3130,0.085566
3140,0.081469
3150,0.085300
3160,0.080474
3170,0.084141
3180,0.082746
3190,0.086780
3200,0.084109
3210,0.087879
3220,0.086065
3230,0.088715
3240,0.087082
3250,0.089979
3260,0.088298
3270,0.091440
3280,0.088431
3290,0.094707
3300,0.090022
3310,0.094677
3320,0.091585
3330,0.095509
3340,0.092504
3350,0.096314
3360,0.090456
3370,0.095900
3380,0.093412
3390,0.104756
3400,0.102391
3410,0.103979
3420,0.101587
3430,0.100176
3440,0.100607
3450,0.103185
3460,0.098093
3470,0.102669
3480,0.098968
3490,0.103476
3500,0.101627
3510,0.102494
3520,0.104374
3530,0.105575
3540,0.103285
3550,0.108196
3560,0.107034
3570,0.104519
3580,0.111791
3590,0.111596
3600,0.111688
3610,0.109250
3620,0.113124
3630,0.112301
3640,0.110399
3650,0.112318
3660,0.113163
3670,0.117185
3680,0.112088
3690,0.115212
3700,0.120479
3710,0.119178
3720,0.116664
3730,0.114980
3740,0.121495
3750,0.118634
3760,0.119937
3770,0.120412
3780,0.123155
3790,0.123161
3800,0.122712
3810,0.123639
3820,0.125082
3830,0.124965
3840,0.124384
3850,0.126057
3860,0.126920
3870,0.133172
3880,0.126727
3890,0.127568
3900,0.133499
3910,0.130706
3920,0.128557
3930,0.130937
3940,0.133247
3950,0.132999
3960,0.134546
3970,0.135079
3980,0.135065
3990,0.136270
4000,0.135764
4010,0.135776
4020,0.137957
4030,0.139680
4040,0.138348
4050,0.139441
4060,0.142057
4070,0.143278
4080,0.142121
4090,0.142012
4100,0.145311
4110,0.143109
4120,0.151272
4130,0.145321
4140,0.146297
4150,0.149078
4160,0.147043
4170,0.147628
4180,0.151615
4190,0.150270
4200,0.149511
4210,0.150209
4220,0.155092
4230,0.153126
4240,0.158788
4250,0.154415
4260,0.157013
4270,0.156693
4280,0.158698
4290,0.153984
4300,0.159643
4310,0.159344
4320,0.156958
4330,0.158554
4340,0.162182
4350,0.163293
4360,0.162631
4370,0.160649
4380,0.168348
4390,0.165297
4400,0.167877
4410,0.183494
4420,0.170579
4430,0.170201
4440,0.168087
4450,0.166844
4460,0.172148
4470,0.175325
4480,0.169693
4490,0.172051
4500,0.175779
4510,0.174851
4520,0.172832
4530,0.172492
4540,0.178609
4550,0.175829
4560,0.185414
4570,0.178340
4580,0.181164
4590,0.185309
4600,0.179820
4610,0.179950
4620,0.182935
4630,0.183097
4640,0.182776
4650,0.182866
4660,0.186229
4670,0.187015
4680,0.187204
4690,0.186212
4700,0.188828
4710,0.187818
4720,0.186251
4730,0.192101
4740,0.193857
4750,0.195478
4760,0.192211
4770,0.190417
4780,0.194052
4790,0.199079
4800,0.192516
4810,0.194628
4820,0.201554
4830,0.199400
4840,0.206150
4850,0.197958
4860,0.200751
4870,0.202050
4880,0.199558
4890,0.201952
4900,0.205357
4910,0.205472
4920,0.203111
4930,0.204088
4940,0.210324
4950,0.217801
4960,0.209050
4970,0.209070
4980,0.214235
4990,0.212923
5000,0.213453
5010,0.214352
5020,0.215613
5030,0.217699
5040,0.216161
5050,0.218827
5060,0.220373
5070,0.223670
5080,0.221458
5090,0.229268
5100,0.231048
5110,0.224867
5120,0.224150
5130,0.222540
5140,0.226812
5150,0.230407
5160,0.225972
5170,0.224721
5180,0.229967
5190,0.230117
5200,0.228117
5210,0.227811
5220,0.235083
5230,0.232537
5240,0.230947
5250,0.235404
5260,0.237200
5270,0.236725
5280,0.238226
5290,0.237736
5300,0.239619
5310,0.240379
5320,0.236845
5330,0.246221
5340,0.242487
5350,0.244294
5360,0.241538
5370,0.242682
5380,0.246485
5390,0.249172
5400,0.246743
5410,0.250262
5420,0.249109
5430,0.249815
5440,0.247971
5450,0.253844
5460,0.253075
5470,0.254760
5480,0.252379
5490,0.258116
5500,0.260924
5510,0.261185
5520,0.256860
5530,0.257693
5540,0.268766
5550,0.265908
5560,0.260945
5570,0.263195
5580,0.268705
5590,0.271331
5600,0.267255
5610,0.266813
5620,0.271119
5630,0.269922
5640,0.271654
5650,0.271318
5660,0.273616
5670,0.273114
5680,0.273248
5690,0.274047
5700,0.276010
5710,0.279334
5720,0.278157
5730,0.277966
5740,0.284546
5750,0.282275
5760,0.280506
5770,0.281298
5780,0.284939
5790,0.285273
5800,0.282204
5810,0.284414
5820,0.291047
5830,0.290426
5840,0.285456
5850,0.287003
5860,0.296400
5870,0.297248
5880,0.294287
5890,0.304867
5900,0.298257
5910,0.296076
5920,0.298662
5930,0.293629
5940,0.338665
5950,0.381678
5960,0.391135
5970,0.383671
5980,0.379432
5990,0.396860
6000,0.309810
6010,0.305069
6020,0.309572
6030,0.310290
6040,0.309990
6050,0.309273
6060,0.313204
6070,0.314046
6080,0.318051
6090,0.310034
6100,0.315442
6110,0.315571
6120,0.312278
6130,0.315093
6140,0.322088
6150,0.325668
6160,0.317600
6170,0.320920
6180,0.327457
6190,0.324094
6200,0.322812
6210,0.325446
6220,0.338771
6230,0.331607
6240,0.331906
6250,0.326271
6260,0.335806
6270,0.332128
6280,0.330790
6290,0.331331
6300,0.335965
6310,0.338071
6320,0.335377
6330,0.339700
6340,0.343587
6350,0.343687
6360,0.340260
6370,0.340573
6380,0.343823
6390,0.344859
6400,0.355683
6410,0.346153
6420,0.348225
6430,0.350447
6440,0.346729
6450,0.348107
6460,0.360060
6470,0.362764
6480,0.353228
6490,0.354504
6500,0.358797
6510,0.362127
6520,0.357280
6530,0.359912
6540,0.365094
6550,0.367540
6560,0.361229
6570,0.362893
6580,0.365284
6590,0.366490
6600,0.367926
6610,0.369892
6620,0.371780
6630,0.372814
6640,0.367022
6650,0.368392
6660,0.374814
6670,0.376280
6680,0.372461
6690,0.373130
6700,0.386166
6710,0.380455
6720,0.376170
6730,0.380108
6740,0.392754
6750,0.383117
6760,0.386246
6770,0.387242
6780,0.389448
6790,0.391460
6800,0.386190
6810,0.388416
6820,0.392751
6830,0.396548
6840,0.401573
6850,0.394380
6860,0.401625
6870,0.402201
6880,0.409891
6890,0.436195
6900,0.423049
6910,0.404450
6920,0.399728
6930,0.400448
6940,0.407351
6950,0.407187
6960,0.405614
6970,0.415922
6980,0.420167
6990,0.419373
7000,0.414738
7010,0.410222
7020,0.430242
7030,0.424299
7040,0.421078
7050,0.425391
7060,0.439639
7070,0.427892
7080,0.420885
7090,0.419561
7100,0.437237
7110,0.425195
7120,0.429283
7130,0.421540
7140,0.430846
7150,0.429944
7160,0.427640
7170,0.430665
7180,0.439476
7190,0.437107
7200,0.431559
7210,0.432220
7220,0.455422
7230,0.439797
7240,0.437579
7250,0.433483
7260,0.444902
7270,0.449169
7280,0.442927
7290,0.445048
7300,0.449127
7310,0.453319
7320,0.445954
7330,0.447725
7340,0.463739
7350,0.458802
7360,0.453060
7370,0.454882
7380,0.460818
7390,0.460093
7400,0.455645
7410,0.457483
7420,0.464180
7430,0.466881
7440,0.466537
7450,0.466221
7460,0.480259
7470,0.469744
7480,0.470503
7490,0.465534
7500,0.474681
7510,0.481242
7520,0.471790
7530,0.469574
7540,0.477915
7550,0.482250
7560,0.477666
7570,0.481284
7580,0.485412
7590,0.488734
7600,0.482660
7610,0.491339
7620,0.505938
7630,0.491778
7640,0.490360
7650,0.491572
7660,0.496425
7670,0.498677
7680,0.498615
7690,0.491055
7700,0.503835
7710,0.497871
7720,0.493997
7730,0.495494
7740,0.506081
7750,0.506103
7760,0.510990
7770,0.502822
7780,0.517883
7790,0.512228
7800,0.508030
7810,0.510128
7820,0.514239
7830,0.518563
7840,0.519840
7850,0.518850
7860,0.523772
7870,0.527730
7880,0.518479
7890,0.526973
7900,0.541102
7910,0.543122
7920,0.537674
7930,0.528324
7940,0.535920
7950,0.534130
7960,0.536122
7970,0.536518
7980,0.549396
7990,0.546319
8000,0.533361
8010,0.543031
8020,0.547907
8030,0.547445
8040,0.537458
8050,0.537726
8060,0.575275
8070,0.550123
8080,0.541960
8090,0.547947
8100,0.552790
8110,0.555455
8120,0.548399
8130,0.567609
8140,0.567041
8150,0.557241
8160,0.551580
8170,0.561469
8180,0.572809
8190,0.570013
8200,0.557367
8210,0.579113
8220,0.571574
8230,0.571617
8240,0.568082
8250,0.568887
8260,0.578333
8270,0.578092
8280,0.576520
8290,0.574879
8300,0.582421
8310,0.580551
8320,0.574178
8330,0.578575
8340,0.583437
8350,0.583715
8360,0.584277
8370,0.591123
8380,0.604800
8390,0.594089
8400,0.585884
8410,0.587521
8420,0.602825
8430,0.600509
8440,0.591486
8450,0.598019
8460,0.606082
8470,0.602142
8480,0.598925
8490,0.596979
8500,0.607541
8510,0.608831
8520,0.603443
8530,0.607555
8540,0.625034
8550,0.626643
8560,0.605461
8570,0.608652
8580,0.630847
8590,0.621535
8600,0.614693
8610,0.625384
8620,0.626110
8630,0.633871
8640,0.619133
8650,0.617561
8660,0.630445
8670,0.633289
8680,0.626219
8690,0.628352
8700,0.643028
8710,0.647525
8720,0.637767
8730,0.633204
8740,0.644538
8750,0.646529
8760,0.637454
8770,0.641509
8780,0.653778
8790,0.652865
8800,0.647454
8810,0.647468
8820,0.660436
8830,0.660924
8840,0.655966
8850,0.647865
8860,0.664661
8870,0.664286
8880,0.662184
8890,0.661781
8900,0.672213
8910,0.681339
8920,0.662219
8930,0.662985
8940,0.673012
8950,0.677093
8960,0.676887
8970,0.668928
8980,0.692246
8990,0.681491
9000,0.674872
9010,0.698628
9020,0.688306
9030,0.697840
9040,0.683465
9050,0.686787
9060,0.697411
9070,0.699904
9080,0.692632
9090,0.690462
9100,0.697326
9110,0.705079
9120,0.704766
9130,0.721008
9140,0.706249
9150,0.722799
9160,0.707034
9170,0.702539
9180,0.712369
9190,0.710301
9200,0.713538
9210,0.703270
9220,0.718508
9230,0.718880
9240,0.707158
9250,0.711336
9260,0.724806
9270,0.734497
9280,0.720177
9290,0.732540
9300,0.733626
9310,0.727456
9320,0.728587
9330,0.728404
9340,0.746686
9350,0.751130
9360,0.731709
9370,0.734519
9380,0.753694
9390,0.741977
9400,0.742553
9410,0.741503
9420,0.758224
9430,0.760371
9440,0.765292
9450,0.745815
9460,0.768239
9470,0.760478
9480,0.748635
9490,0.752566
9500,0.765189
9510,0.761869
9520,0.760221
9530,0.756771
9540,0.767745
9550,0.770536
9560,0.773471
9570,0.768891
9580,0.773775
9590,0.775638
9600,0.764136
9610,0.771299
9620,0.785707
9630,0.800973
9640,0.775114
9650,0.781003
9660,0.795530
9670,0.790886
9680,0.793590
9690,0.788009
9700,0.808301
9710,0.805906
9720,0.790150
9730,0.792413
9740,0.885561
9750,0.823724
9760,0.804640
9770,0.798435
9780,0.814330
9790,0.813729
9800,0.814219
9810,0.807394
9820,0.815003
9830,0.828631
9840,0.819207
9850,0.816552
9860,0.827478
9870,0.850166
9880,0.819377
9890,0.825809
9900,0.829555
9910,0.832922
9920,0.836540
9930,0.824650
9940,0.836440
9950,0.849144
9960,0.836974
9970,0.834565
9980,0.851679
9990,0.849548
10000,0.846572
10010,0.837228
10020,0.858702
10030,0.858832
10040,0.854059
10050,0.850717
10060,0.852903
10070,0.865558
10080,0.861284
10090,0.846317
10100,0.865969
10110,0.863852
10120,0.852848
10130,0.859259
10140,0.889319
10150,0.885615
10160,0.875643
10170,0.871550
10180,0.879128
10190,0.879718
10200,0.864544
10210,0.871034
10220,0.888411
10230,0.891911
10240,0.875930
10250,0.885745
10260,0.887213
10270,0.906779
10280,0.889232
10290,0.881932
10300,0.905696
10310,0.891551
10320,0.877432
10330,0.902541
10340,0.894540
10350,0.900830
10360,0.888124
10370,0.893139
10380,0.902828
10390,0.911119
10400,0.899653
10410,0.897432
10420,0.916505
10430,0.914141
10440,0.900097
10450,0.907185
10460,0.915909
10470,0.915944
10480,0.910608
10490,0.915431
10500,0.921085
10510,0.933400
10520,0.922670
10530,0.915749
10540,0.940821
10550,0.930209
10560,0.923923
10570,0.934622
10580,0.943153
10590,0.943109
10600,0.938488
10610,0.941721
10620,0.951778
10630,0.949418
10640,0.939013
10650,0.947864
10660,0.951982
10670,0.964078
10680,0.946032
10690,0.944406
10700,0.970048
10710,0.964112
10720,0.956720
10730,0.964077
10740,0.974663
10750,0.970082
10760,0.954931
10770,0.959774
10780,0.978691
10790,0.982360
10800,0.971650
10810,0.974757
10820,0.981446
10830,0.991060
10840,0.981227
10850,0.976698
10860,0.994180
10870,1.005111
10880,0.977425
10890,0.987055
10900,0.999572
10910,1.003921
10920,1.015046
10930,0.981998
10940,1.009619
10950,1.007822
10960,1.003519
10970,0.992040
10980,1.005683
10990,1.007921
11000,1.008700
11010,1.012490
11020,1.019490
11030,1.034402
11040,1.007332
11050,1.018800
11060,1.026356
11070,1.026092
11080,1.014614
11090,1.025516
11100,1.029745
11110,1.048117
11120,1.018228
11130,1.019537
11140,1.040833
11150,1.043490
11160,1.040144
11170,1.027890
11180,1.051581
11190,1.049251
11200,1.048993
11210,1.044175
11220,1.061674
11230,1.050761
11240,1.043436
11250,1.049484
11260,1.074231
11270,1.069842
11280,1.057606
11290,1.065807
11300,1.070966
11310,1.074548
11320,1.070460
11330,1.068023
11340,1.087437
11350,1.072443
11360,1.070960
11370,1.067334
11380,1.087316
11390,1.098158
11400,1.085620
11410,1.090093
11420,1.093206
11430,1.102211
11440,1.084922
11450,1.081647
11460,1.109880
11470,1.106913
11480,1.096167
11490,1.093289
11500,1.115055
11510,1.115416
11520,1.090436
11530,1.093435
11540,1.112995
11550,1.114703
11560,1.109415
11570,1.109768
11580,1.122801
11590,1.127282
11600,1.124736
11610,1.126207
11620,1.131435
11630,1.139522
11640,1.112944
11650,1.122135
11660,1.146797
11670,1.149377
11680,1.126753
11690,1.124506
11700,1.155892
11710,1.152558
11720,1.142223
11730,1.142719
11740,1.160841
11750,1.186297
11760,1.142607
11770,1.149572
11780,1.159863
11790,1.171414
11800,1.142272
11810,1.150980
11820,1.182851
11830,1.180187
11840,1.161572
11850,1.154793
11860,1.185025
11870,1.178593
11880,1.176979
11890,1.176836
11900,1.189360
11910,1.196246
11920,1.183045
11930,1.181213
11940,1.198866
11950,1.195410
11960,1.187492
11970,1.187129
11980,1.210468
11990,1.200878
12000,1.197736
12010,1.188314
12020,1.218593
12030,1.208771
12040,1.189853
12050,1.191605
12060,1.220292
12070,1.221930
12080,1.224456
12090,1.207907
12100,1.223395
12110,1.246511
12120,1.216192
12130,1.229535
12140,1.232823
12150,1.240096
12160,1.228268
12170,1.220800
12180,1.241682
12190,1.243819
12200,1.234690
12210,1.225547
12220,1.251437
12230,1.249654
12240,1.246233
12250,1.263663
12260,1.270335
12270,1.262271
12280,1.254567
